what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769093845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769111560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769491214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769506294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769514857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769523799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769525214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769526893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769528580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769529893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769529979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769825787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769827817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769828052
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769829801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769831244
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769832652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769833740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769833840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490769897445
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490769910375
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490769910474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490769930711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490769942195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769944918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490769994030
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1490770008952
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1490770009021
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1490770009745
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1490770009952
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1490770010033
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1490770010471
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1490770010604
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1490770010705
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1490770010934
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490770012477
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490770208290
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1490770232023
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1490770232052
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1490770232104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490770270618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770279782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770474174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770475657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770717202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770719603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770720663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770722601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770725358
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770729743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770828553
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490770836762
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490770844917
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770846049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770919417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490770987217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490771082760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490771090366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490771277795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490771284361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772580902
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772623074
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772626089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490772640584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772641752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772643656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772644717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772647851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772649888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772658853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490772696205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772697631
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772724419
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490772737558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772739235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772791377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490772798766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772800198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772802016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772803666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772894252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772897120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772911757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772941075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490772967494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773024990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773026328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773031218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773192265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773193824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773209686
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773242433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773243890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773275549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773287501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773288896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773295600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773311848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773312408
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1490773312687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773313337
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1490773313529
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1490773313665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773313941
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773314098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773316733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773348685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773351491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773353960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773355253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773360701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773519786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773522333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490773538922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490773556831
