what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236755625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236877488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236891046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236892631
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1491236894898
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1491236894959
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1491236895622
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1491236895810
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1491236895886
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1491236896273
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1491236896399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236896505
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1491236896607
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1491236897345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236902609
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491236903858
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491236904010
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1491236904012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1491236943722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491236945051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237010681
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237015631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1491237026688
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237028703
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237053820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1491237062263
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237064603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1491237072017
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1491237078038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237079475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237170061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237171406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237460813
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237489000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237588520
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237593081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237601357
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237602180
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237602255
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1491237602258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237616032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237622251
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237624220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1491237668626
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237669956
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237722342
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1491237727700
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237729086
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237730794
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237736624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1491237740411
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1491237767257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237775275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237778072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237780307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491237782730
